PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
VBG-leaving	2	4	motion	3	social	1																		
TO-to	5	13	`	8	stative	2	`j	1	perception	1	cognition	1												
VBN-personalized	2	2	`j	1	social	1																		
NN-behavior	2	3	cognition	2	act	1																		
NN-side	3	3	food	1	cognition	1	location	1																
JJ-high	5	12	`	5	group	3	cognition	2	artifact	1	attribute	1												
VBN-executed	2	2	creation	1	stative	1																		
VBN-come	4	6	stative	3	motion	1	cognition	1	change	1														
NN-reception	2	2	person	1	act	1																		
VBD-came	6	51	motion	34	stative	7	social	4	`a	2	cognition	2	communication	2										
NN-update	2	2	communication	1	cognition	1																		
NN-market	2	5	group	3	cognition	2																		
NN-staff	2	72	group	69	person	3																		
NN-energy	4	4	attribute	1	phenomenon	1	artifact	1	cognition	1														
NN-help	2	11	act	7	cognition	4																		
VBN-referred	2	5	communication	4	cognition	1																		
VBD-went	8	58	motion	32	social	10	stative	9	change	3	emotion	1	`	1	cognition	1	communication	1						
VBG-making	4	10	stative	4	creation	3	social	2	cognition	1														
NN-auto	4	5	artifact	2	cognition	1	group	1	act	1														
NN-hospitality	3	6	attribute	4	cognition	1	act	1																
NNS-specials	2	5	cognition	3	event	2																		
NN-type	2	9	cognition	8	attribute	1																		
JJ-second	3	4	cognition	2	substance	1	event	1																
VBN-filled	2	5	stative	3	`j	2																		
VBN-surprised	2	3	emotion	2	cognition	1																		
VBD-dropped	3	5	motion	3	communication	1	change	1																
DT-that	2	3	`	2	group	1																		
VBP-provide	2	2	stative	1	social	1																		
VB-order	2	10	communication	8	possession	2																		
VB-save	4	9	stative	5	social	2	cognition	1	change	1														
VBN-fallen	3	3	emotion	1	cognition	1	change	1																
WRB-when	2	2	`	1	stative	1																		
NN-selection	3	13	cognition	11	food	1	attribute	1																
NN-walking	2	2	relation	1	act	1																		
NN-matter	2	2	cognition	1	event	1																		
VBD-installed	2	2	change	1	stative	1																		
VBD-let	2	3	social	2	cognition	1																		
NNP-allen	2	2	group	1	location	1																		
VB-let	5	21	social	7	communication	5	cognition	5	stative	3	`	1												
NNS-places	2	25	group	23	location	2																		
VBP-live	3	12	social	10	cognition	1	stative	1																
VBG-trying	4	13	social	8	cognition	3	body	1	communication	1														
VBN-provided	2	5	social	4	possession	1																		
NN-way	5	42	cognition	34	`	4	act	2	state	1	location	1												
VBG-receiving	2	2	possession	1	communication	1																		
NN-model	2	2	person	1	attribute	1																		
VB-of	2	2	`a	1	stative	1																		
NN-value	4	6	cognition	2	attribute	2	possession	1	`	1														
NN-problem	2	20	cognition	19	`	1																		
JJ-black	2	2	food	1	person	1																		
VB-afford	2	2	possession	1	stative	1																		
NN-fire	3	3	natural object	1	artifact	1	event	1																
VB-cross	2	2	cognition	1	social	1																		
IN-around	2	2	location	1	time	1																		
NN-college	4	7	group	4	cognition	1	state	1	location	1														
NNS-complaints	2	4	communication	3	cognition	1																		
NN-benefit	2	2	motive	1	cognition	1																		
NN-flower	2	2	plant	1	natural object	1																		
NN-customer	4	53	act	29	person	22	group	1	cognition	1														
NN-flavor	2	5	attribute	4	cognition	1																		
NN-photography	2	2	cognition	1	act	1																		
VBG-being	2	29	`a	15	stative	14																		
NN-while	2	2	`	1	time	1																		
VBG-comparing	2	3	stative	2	cognition	1																		
NNP-nick	2	4	person	3	group	1																		
NN-site	2	2	communication	1	location	1																		
NN-balance	2	2	possession	1	act	1																		
VBD-stayed	2	3	social	2	stative	1																		
NN-complex	2	2	location	1	artifact	1																		
NN-tap	3	3	food	1	substance	1	act	1																
VBZ-is	5	630	stative	577	`a	50	social	1	cognition	1	communication	1												
NNS-clients	2	5	person	4	group	1																		
NN-place	3	185	group	164	location	20	state	1																
VB-set	2	2	creation	1	stative	1																		
NN-advice	2	5	communication	3	cognition	2																		
NN-bathroom	2	7	artifact	4	location	3																		
NN-art	3	4	cognition	2	group	1	artifact	1																
NNP-atlanta	2	2	group	1	location	1																		
NN-phone	3	14	artifact	7	communication	6	act	1																
VBP-'re	2	27	stative	19	`a	8																		
VB-care	2	8	cognition	5	emotion	3																		
NNP-west	2	2	relation	1	location	1																		
NNS-servers	2	4	person	3	group	1																		
NN-move	2	2	event	1	act	1																		
VBN-missed	2	2	cognition	1	stative	1																		
VBD-missed	2	2	cognition	1	stative	1																		
NN-bull	2	2	animal	1	act	1																		
JJ-old	2	3	cognition	2	`	1																		
NN-coffee	2	11	food	10	group	1																		
NN-mark	3	3	possession	1	cognition	1	person	1																
VBP-re	2	2	`a	1	stative	1																		
NN-steak	2	7	food	6	group	1																		
NN-hotel	3	31	group	25	location	3	artifact	3																
NN-server	2	9	person	8	artifact	1																		
VB-quit	2	2	cognition	1	change	1																		
NNS-deals	2	3	possession	2	act	1																		
NNS-pros	2	3	group	2	cognition	1																		
NN-noise	2	3	natural object	2	phenomenon	1																		
VB-book	2	2	communication	1	social	1																		
VBG-suffering	2	2	emotion	1	cognition	1																		
NN-reason	2	13	motive	10	cognition	3																		
NNS-signs	3	4	artifact	2	cognition	1	communication	1																
NNP-la	2	5	location	3	group	2																		
NN-number	4	12	communication	5	quantity	4	relation	2	cognition	1														
VB-be	3	212	stative	132	`a	78	cognition	2																
JJ-yellow	2	2	food	1	animal	1																		
VBZ-'s	2	94	stative	87	`a	7																		
VB-send	2	5	motion	4	social	1																		
NN-attempt	2	3	act	2	cognition	1																		
JJ-medical	2	3	act	2	cognition	1																		
NNS-results	2	10	phenomenon	9	cognition	1																		
NN-tax	2	3	possession	2	person	1																		
VBD-ended	3	5	`a	2	stative	2	change	1																
VBD-made	5	26	stative	11	cognition	7	communication	4	social	3	competition	1												
NN-card	2	3	possession	2	communication	1																		
VBP-am	2	66	stative	52	`a	14																		
NNS-experiences	3	6	event	4	cognition	1	social	1																
VBN-established	2	3	social	2	creation	1																		
NN-support	2	2	cognition	1	act	1																		
NNS-boys	2	4	person	2	group	2																		
AFX-over	2	2	possession	1	stative	1																		
VBD-hurt	2	2	body	1	perception	1																		
NN-replacement	2	3	cognition	2	act	1																		
VBD-closed	2	4	change	2	stative	2																		
VB-change	3	11	change	8	cognition	2	body	1																
VBG-showing	2	2	possession	1	social	1																		
NN-step	3	3	motion	1	event	1	act	1																
VB-grab	2	3	possession	2	motion	1																		
VBN-licensed	2	2	cognition	1	stative	1																		
NN-pool	2	3	artifact	2	act	1																		
VBG-running	2	6	stative	3	social	3																		
NN-student	2	4	person	3	group	1																		
NN-smile	2	2	body	1	act	1																		
NN-loop	2	2	cognition	1	shape	1																		
NN-location	2	30	location	25	group	5																		
NN-discount	2	5	possession	4	relation	1																		
NN-hole	2	2	food	1	cognition	1																		
VBN-presented	2	2	perception	1	social	1																		
NNS-views	2	3	natural object	2	cognition	1																		
NN-insurance	3	8	possession	6	group	1	act	1																
NNS-springs	2	2	natural object	1	artifact	1																		
NN-pub	2	4	group	3	location	1																		
VBN-priced	2	2	possession	1	`j	1																		
VBD-walked	2	13	motion	11	social	2																		
NN-apartment	2	5	artifact	4	group	1																		
NN-portion	2	5	relation	3	quantity	2																		
VBN-felt	2	3	cognition	2	perception	1																		
VBP-'ve	2	64	`a	60	stative	4																		
NNS-blocks	2	2	location	1	quantity	1																		
VB-am	2	2	`a	1	stative	1																		
VBP-take	5	7	motion	3	communication	1	social	1	emotion	1	cognition	1												
NNP-china	2	3	group	2	location	1																		
VBN-reduced	2	2	`j	1	change	1																		
VBP-do	4	123	`a	92	stative	25	social	5	`	1														
NN-contrast	2	2	cognition	1	relation	1																		
VBN-blown	3	4	`j	2	cognition	1	artifact	1																
JJ-first	4	5	`	2	attribute	1	event	1	cognition	1														
NNS-lessons	2	4	event	2	act	2																		
VBG-playing	3	4	social	2	creation	1	stative	1																
NN-seo	2	2	cognition	1	group	1																		
NN-accommodation	2	2	possession	1	act	1																		
NNS-movies	2	4	communication	3	event	1																		
VB-begin	2	2	change	1	stative	1																		
VB-develop	2	2	cognition	1	change	1																		
VBN-seen	4	14	perception	7	cognition	3	social	2	stative	2														
NN-waiting	4	6	location	2	act	2	person	1	group	1														
VBZ-blows	2	3	stative	2	motion	1																		
VBP-offer	2	6	stative	5	social	1																		
VBG-tasting	2	3	`j	2	perception	1																		
NN-vehicle	2	6	artifact	5	act	1																		
NNS-dates	2	2	event	1	time	1																		
NN-closing	2	5	event	4	act	1																		
VB-turn	2	2	change	1	stative	1																		
NN-project	2	2	event	1	act	1																		
NN-er	2	4	location	3	group	1																		
VB-ensure	2	4	cognition	3	social	1																		
NNS-bees	2	2	group	1	animal	1																		
NN-luv	2	2	emotion	1	`	1																		
NN-variety	2	5	cognition	4	attribute	1																		
NNS-tests	2	3	act	2	cognition	1																		
VB-hurt	2	5	perception	4	cognition	1																		
VB-pay	3	19	possession	15	cognition	3	perception	1																
VBD-won	2	4	competition	2	stative	2																		
NNS-guys	3	32	group	18	person	9	`	5																
VBN-made	3	12	creation	6	cognition	3	social	3																
VBG-closing	2	3	change	2	social	1																		
VBD-put	5	10	social	3	stative	3	motion	2	possession	1	contact	1												
NN-pharmacy	2	3	group	2	artifact	1																		
VBG-missing	2	4	cognition	2	stative	2																		
JJ-top	3	5	communication	3	`	1	cognition	1																
NN-family	4	37	group	34	cognition	1	event	1	person	1														
IN-in	6	59	`	36	cognition	9	location	8	state	4	communication	1	time	1										
VBD-tried	6	21	social	10	cognition	4	consumption	3	stative	2	body	1	communication	1										
VBD-received	3	5	possession	2	social	2	stative	1																
VBG-picking	2	2	possession	1	cognition	1																		
NN-pain	2	12	state	11	artifact	1																		
NNS-changes	2	2	process	1	act	1																		
NN-salon	2	20	group	19	location	1																		
NN-designer	3	5	group	3	cognition	1	`	1																
IN-over	2	8	`	7	time	1																		
VBN-covered	2	2	contact	1	stative	1																		
NN-style	2	11	cognition	7	attribute	4																		
VB-appreciate	2	3	emotion	2	cognition	1																		
VB-mind	2	3	emotion	2	cognition	1																		
VBN-rated	2	2	cognition	1	communication	1																		
NN-certificate	2	3	possession	2	communication	1																		
NN-size	3	5	relation	2	quantity	2	attribute	1																
NN-period	2	2	`	1	time	1																		
NNP-lake	2	4	group	3	location	1																		
NNP-pam	2	2	person	1	animal	1																		
VBN-offered	2	2	communication	1	social	1																		
VB-fool	2	5	cognition	3	social	2																		
NN-lack	4	7	quantity	3	cognition	2	state	1	`	1														
VB-prove	2	4	cognition	3	social	1																		
NNS-images	2	2	communication	1	artifact	1																		
NN-anybody	2	2	`	1	person	1																		
NNS-prices	2	36	possession	35	change	1																		
NN-front	2	5	location	4	group	1																		
VBP-receive	2	2	possession	1	social	1																		
NNS-staff	2	21	group	16	person	5																		
JJ-french	2	2	food	1	artifact	1																		
NNP-a	2	4	group	3	communication	1																		
VB-seat	2	2	stative	1	social	1																		
VBZ-seems	2	8	cognition	7	perception	1																		
NN-property	2	2	cognition	1	group	1																		
NN-spring	2	3	artifact	2	food	1																		
VB-try	4	24	social	20	consumption	2	possession	1	cognition	1														
RB-well	4	7	`	4	`j	1	feeling	1	stative	1														
NN-collection	2	3	group	2	artifact	1																		
